Data,Produto,Estado,Área Colhida (ha),Produção (t),Rendimento Médio (kg/ha),Temperatura Media,Precipitacao Total,Pressao Atmosferica Media,Vento Velocidade Media
12014,1,1,30950.0,164384.0,5311.0,22.93,144.36,901.2,1.44
12014,2,1,239112.0,431624.0,1805.0,22.93,144.36,901.2,1.44
12014,3,1,269963.0,518332.0,1920.0,22.93,144.36,901.2,1.44
12014,5,1,669988.0,5623929.0,8394.0,22.93,144.36,901.2,1.44
12014,7,1,4998120.0,16686225.0,3339.0,22.93,144.36,901.2,1.44
12014,8,1,979793.0,1796079.0,1833.0,22.93,144.36,901.2,1.44
12014,9,1,75995.0,173750.0,2286.0,22.93,144.36,901.2,1.44
22014,1,1,30700.0,160713.0,5235.0,22.2,100.75,816.63,1.64
22014,2,1,239112.0,421680.0,1764.0,22.2,100.75,816.63,1.64
22014,3,1,266563.0,511137.0,1918.0,22.2,100.75,816.63,1.64
22014,5,1,669988.0,5508351.0,8222.0,22.2,100.75,816.63,1.64
22014,7,1,4998120.0,14655377.0,2932.0,22.2,100.75,816.63,1.64
22014,8,1,979793.0,1796079.0,1833.0,22.2,100.75,816.63,1.64
22014,9,1,76262.0,171838.0,2253.0,22.2,100.75,816.63,1.64
32014,1,1,30342.0,154663.0,5097.0,19.37,167.23,863.63,1.62
32014,2,1,239112.0,421680.0,1764.0,19.37,167.23,863.63,1.62
32014,3,1,263718.0,490386.0,1860.0,19.37,167.23,863.63,1.62
32014,5,1,668274.0,5429288.0,8124.0,19.37,167.23,863.63,1.62
32014,7,1,5016657.0,14708024.0,2932.0,19.37,167.23,863.63,1.62
32014,8,1,1215364.0,3639738.0,2995.0,19.37,167.23,863.63,1.62
32014,9,1,76137.0,171673.0,2255.0,19.37,167.23,863.63,1.62
42014,1,1,30342.0,154663.0,5097.0,17.88,81.51,865.22,1.63
42014,2,1,239112.0,421680.0,1764.0,17.88,81.51,865.22,1.63
42014,3,1,263718.0,490386.0,1860.0,17.88,81.51,865.22,1.63
42014,5,1,664794.0,5308255.0,7985.0,17.88,81.51,865.22,1.63
42014,7,1,5021926.0,14713610.0,2930.0,17.88,81.51,865.22,1.63
42014,8,1,1269259.0,3817835.0,3008.0,17.88,81.51,865.22,1.63
42014,9,1,76137.0,171673.0,2255.0,17.88,81.51,865.22,1.63
52014,1,1,30152.0,153981.0,5107.0,15.4,78.47,865.7,1.51
52014,2,1,239112.0,421680.0,1764.0,15.4,78.47,865.7,1.51
52014,3,1,259117.0,454929.0,1756.0,15.4,78.47,865.7,1.51
52014,5,1,668259.0,5332973.0,7980.0,15.4,78.47,865.7,1.51
52014,7,1,5021926.0,14713610.0,2930.0,15.4,78.47,865.7,1.51
52014,8,1,1323939.0,3981913.0,3008.0,15.4,78.47,865.7,1.51
52014,9,1,76137.0,171673.0,2255.0,15.4,78.47,865.7,1.51
62014,1,1,30152.0,153981.0,5107.0,16.18,134.43,863.2,1.59
62014,2,1,239112.0,421680.0,1764.0,16.18,134.43,863.2,1.59
62014,3,1,259192.0,416552.0,1607.0,16.18,134.43,863.2,1.59
62014,5,1,668259.0,5375565.0,8044.0,16.18,134.43,863.2,1.59
62014,7,1,5018523.0,14806462.0,2950.0,16.18,134.43,863.2,1.59
62014,8,1,1332091.0,4008727.0,3009.0,16.18,134.43,863.2,1.59
62014,9,1,76137.0,171673.0,2255.0,16.18,134.43,863.2,1.59
72014,1,1,30152.0,153981.0,5107.0,15.37,75.41,825.84,1.69
72014,2,1,239112.0,421680.0,1764.0,15.37,75.41,825.84,1.69
72014,3,1,275137.0,403682.0,1467.0,15.37,75.41,825.84,1.69
72014,5,1,668259.0,5375565.0,8044.0,15.37,75.41,825.84,1.69
72014,7,1,5018523.0,14806462.0,2950.0,15.37,75.41,825.84,1.69
72014,8,1,1350246.0,3982460.0,2949.0,15.37,75.41,825.84,1.69
72014,9,1,76137.0,171673.0,2255.0,15.37,75.41,825.84,1.69
82014,1,1,30152.0,153981.0,5107.0,16.77,27.99,865.31,1.66
82014,2,1,239112.0,421680.0,1764.0,16.77,27.99,865.31,1.66
82014,3,1,275137.0,403682.0,1467.0,16.77,27.99,865.31,1.66
82014,5,1,668259.0,5375565.0,8044.0,16.77,27.99,865.31,1.66
82014,7,1,5018523.0,14806462.0,2950.0,16.77,27.99,865.31,1.66
82014,8,1,1354503.0,3976549.0,2936.0,16.77,27.99,865.31,1.66
82014,9,1,76137.0,171673.0,2255.0,16.77,27.99,865.31,1.66
92014,1,1,30152.0,153981.0,5107.0,18.5,146.53,784.01,2.0
92014,2,1,239112.0,421680.0,1764.0,18.5,146.53,784.01,2.0
92014,3,1,275137.0,403682.0,1467.0,18.5,146.53,784.01,2.0
92014,5,1,668259.0,5375565.0,8044.0,18.5,146.53,784.01,2.0
92014,7,1,5018523.0,14806462.0,2950.0,18.5,146.53,784.01,2.0
92014,8,1,1354240.0,3995536.0,2950.0,18.5,146.53,784.01,2.0
92014,9,1,76137.0,171673.0,2255.0,18.5,146.53,784.01,2.0
102014,1,1,30152.0,153981.0,5107.0,21.77,48.83,904.08,2.03
102014,2,1,239112.0,421680.0,1764.0,21.77,48.83,904.08,2.03
102014,3,1,275137.0,403682.0,1467.0,21.77,48.83,904.08,2.03
102014,5,1,668259.0,5375565.0,8044.0,21.77,48.83,904.08,2.03
102014,7,1,5018523.0,14806462.0,2950.0,21.77,48.83,904.08,2.03
102014,8,1,1356958.0,3869723.0,2852.0,21.77,48.83,904.08,2.03
102014,9,1,76137.0,171673.0,2255.0,21.77,48.83,904.08,2.03
112014,1,1,30152.0,153981.0,5107.0,22.24,94.55,863.65,1.62
