Data,Produto,Estado,Área Colhida (ha),Área Plantada (ha),Produção (t),Rendimento Médio (kg/ha),Temperatura Media,Precipitacao Total,Pressao Atmosferica Media,Vento Velocidade Media
12014,1,1,30950.0,,164384.0,5311.0,26.5,224.0,1012.6,2.9
12014,2,1,239112.0,,431624.0,1805.0,26.5,224.0,1012.6,2.9
12014,3,1,269963.0,,518332.0,1920.0,26.5,224.0,1012.6,2.9
12014,4,1,5799.0,,5119.0,883.0,26.5,224.0,1012.6,2.9
12014,5,1,669988.0,,5623929.0,8394.0,26.5,224.0,1012.6,2.9
12014,6,1,1931330.0,,10154602.0,5258.0,26.5,224.0,1012.6,2.9
12014,7,1,4998120.0,,16686225.0,3339.0,26.5,224.0,1012.6,2.9
12014,8,1,979793.0,,1796079.0,1833.0,26.5,224.0,1012.6,2.9
12014,9,1,75995.0,,173750.0,2286.0,26.5,224.0,1012.6,2.9
22014,1,1,30700.0,,160713.0,5235.0,26.5,157.6,1012.5,2.9
22014,2,1,239112.0,,421680.0,1764.0,26.5,157.6,1012.5,2.9
22014,3,1,266563.0,,511137.0,1918.0,26.5,157.6,1012.5,2.9
22014,4,1,5799.0,,5119.0,883.0,26.5,157.6,1012.5,2.9
22014,5,1,669988.0,,5508351.0,8222.0,26.5,157.6,1012.5,2.9
22014,6,1,1907767.0,,10011557.0,5248.0,26.5,157.6,1012.5,2.9
22014,7,1,4998120.0,,14655377.0,2932.0,26.5,157.6,1012.5,2.9
22014,8,1,979793.0,,1796079.0,1833.0,26.5,157.6,1012.5,2.9
22014,9,1,76262.0,,171838.0,2253.0,26.5,157.6,1012.5,2.9
32014,1,1,30342.0,,154663.0,5097.0,24.7,282.4,1013.6,2.4
32014,2,1,239112.0,,421680.0,1764.0,24.7,282.4,1013.6,2.4
32014,3,1,263718.0,,490386.0,1860.0,24.7,282.4,1013.6,2.4
32014,4,1,5175.0,,5346.0,1033.0,24.7,282.4,1013.6,2.4
32014,5,1,668274.0,,5429288.0,8124.0,24.7,282.4,1013.6,2.4
32014,6,1,1909235.0,,9983073.0,5229.0,24.7,282.4,1013.6,2.4
32014,7,1,5016657.0,,14708024.0,2932.0,24.7,282.4,1013.6,2.4
32014,8,1,1215364.0,,3639738.0,2995.0,24.7,282.4,1013.6,2.4
32014,9,1,76137.0,,171673.0,2255.0,24.7,282.4,1013.6,2.4
