Data,Produto,Estado,Área Colhida (ha),Área Plantada (ha),Produção (t),Rendimento Médio (kg/ha)
janeiro 2014,1.4 Arroz,Parana,30950,,164384,5311
janeiro 2014,1.8 Feijao (1 Safra),Parana,239112,,431624,1805
janeiro 2014,1.9 Feijao (2 Safra),Parana,269963,,518332,1920
janeiro 2014,1.10 Feijao (3 Safra),Parana,5799,,5119,883
janeiro 2014,1.13 Milho (1 Safra),Parana,669988,,5623929,8394
janeiro 2014,1.14 Milho (2 Safra),Parana,1931330,,10154602,5258
janeiro 2014,1.15 Soja,Parana,4998120,,16686225,3339
janeiro 2014,1.17 Trigo,Parana,979793,,1796079,1833
janeiro 2014,15 Fumo,Parana,75995,,173750,2286
fevereiro 2014,1.4 Arroz,Parana,30700,,160713,5235
fevereiro 2014,1.8 Feijao (1 Safra),Parana,239112,,421680,1764
fevereiro 2014,1.9 Feijao (2 Safra),Parana,266563,,511137,1918
fevereiro 2014,1.10 Feijao (3 Safra),Parana,5799,,5119,883
fevereiro 2014,1.13 Milho (1 Safra),Parana,669988,,5508351,8222
fevereiro 2014,1.14 Milho (2 Safra),Parana,1907767,,10011557,5248
fevereiro 2014,1.15 Soja,Parana,4998120,,14655377,2932
fevereiro 2014,1.17 Trigo,Parana,979793,,1796079,1833
fevereiro 2014,15 Fumo,Parana,76262,,171838,2253
marco 2014,1.4 Arroz,Parana,30342,,154663,5097
marco 2014,1.8 Feijao (1 Safra),Parana,239112,,421680,1764
marco 2014,1.9 Feijao (2 Safra),Parana,263718,,490386,1860
marco 2014,1.10 Feijao (3 Safra),Parana,5175,,5346,1033
marco 2014,1.13 Milho (1 Safra),Parana,668274,,5429288,8124
marco 2014,1.14 Milho (2 Safra),Parana,1909235,,9983073,5229
marco 2014,1.15 Soja,Parana,5016657,,14708024,2932
marco 2014,1.17 Trigo,Parana,1215364,,3639738,2995
marco 2014,15 Fumo,Parana,76137,,171673,2255
abril 2014,1.4 Arroz,Parana,30342,,154663,5097
abril 2014,1.8 Feijao (1 Safra),Parana,239112,,421680,1764
abril 2014,1.9 Feijao (2 Safra),Parana,263718,,490386,1860
abril 2014,1.10 Feijao (3 Safra),Parana,5175,,5346,1033
abril 2014,1.13 Milho (1 Safra),Parana,664794,,5308255,7985
abril 2014,1.14 Milho (2 Safra),Parana,1902551,,9982417,5247
abril 2014,1.15 Soja,Parana,5021926,,14713610,2930
abril 2014,1.17 Trigo,Parana,1269259,,3817835,3008
abril 2014,15 Fumo,Parana,76137,,171673,2255
maio 2014,1.4 Arroz,Parana,30152,,153981,5107
maio 2014,1.8 Feijao (1 Safra),Parana,239112,,421680,1764
maio 2014,1.9 Feijao (2 Safra),Parana,259117,,454929,1756
maio 2014,1.10 Feijao (3 Safra),Parana,5910,,6022,1019
maio 2014,1.13 Milho (1 Safra),Parana,668259,,5332973,7980
maio 2014,1.14 Milho (2 Safra),Parana,1905997,,9959864,5226
maio 2014,1.15 Soja,Parana,5021926,,14713610,2930
maio 2014,1.17 Trigo,Parana,1323939,,3981913,3008
maio 2014,15 Fumo,Parana,76137,,171673,2255
junho 2014,1.4 Arroz,Parana,30152,,153981,5107
junho 2014,1.8 Feijao (1 Safra),Parana,239112,,421680,1764
junho 2014,1.9 Feijao (2 Safra),Parana,259192,,416552,1607
junho 2014,1.10 Feijao (3 Safra),Parana,5910,,6022,1019
junho 2014,1.13 Milho (1 Safra),Parana,668259,,5375565,8044
junho 2014,1.14 Milho (2 Safra),Parana,1905997,,9966142,5229
junho 2014,1.15 Soja,Parana,5018523,,14806462,2950
junho 2014,1.17 Trigo,Parana,1332091,,4008727,3009
junho 2014,15 Fumo,Parana,76137,,171673,2255
julho 2014,1.4 Arroz,Parana,30152,,153981,5107
julho 2014,1.8 Feijao (1 Safra),Parana,239112,,421680,1764
julho 2014,1.9 Feijao (2 Safra),Parana,275137,,403682,1467
julho 2014,1.10 Feijao (3 Safra),Parana,5910,,6022,1019
julho 2014,1.13 Milho (1 Safra),Parana,668259,,5375565,8044
julho 2014,1.14 Milho (2 Safra),Parana,1901042,,10207352,5369
julho 2014,1.15 Soja,Parana,5018523,,14806462,2950
julho 2014,1.17 Trigo,Parana,1350246,,3982460,2949
julho 2014,15 Fumo,Parana,76137,,171673,2255
agosto 2014,1.4 Arroz,Parana,30152,,153981,5107
