Data,Produto,Estado,Área Colhida (ha),Produção (t),Rendimento Médio (kg/ha)
12016,1,1,26306.0,148799.0,5656.0
12016,2,1,180474.0,325814.0,1805.0
12016,5,1,429231.0,3692023.0,8601.0
12016,7,1,5373198.0,18297273.0,3405.0
22016,1,1,26286.0,148467.0,5648.0
22016,2,1,180149.0,284549.0,1580.0
22016,5,1,423471.0,3522269.0,8318.0
22016,7,1,5375431.0,17768012.0,3305.0
32016,1,1,26260.0,141857.0,5402.0
32016,2,1,180149.0,284549.0,1580.0
32016,5,1,423890.0,3448940.0,8136.0
32016,7,1,5442435.0,17193813.0,3159.0
42016,1,1,26260.0,141857.0,5402.0
42016,2,1,180149.0,284549.0,1580.0
42016,5,1,423695.0,3409668.0,8047.0
42016,7,1,5445370.0,17100496.0,3140.0
52016,1,1,26254.0,141771.0,5400.0
52016,2,1,180149.0,284549.0,1580.0
52016,5,1,423695.0,3406860.0,8041.0
52016,7,1,5445370.0,17100496.0,3140.0
62016,1,1,26254.0,141771.0,5400.0
62016,2,1,180149.0,284549.0,1580.0
62016,5,1,423695.0,3406860.0,8041.0
62016,7,1,5444891.0,16969660.0,3117.0
72016,1,1,26254.0,141771.0,5400.0
72016,2,1,180149.0,284549.0,1580.0
72016,5,1,423695.0,3406860.0,8041.0
72016,7,1,5444891.0,16969660.0,3117.0
82016,1,1,26254.0,141771.0,5400.0
82016,2,1,180149.0,284549.0,1580.0
82016,5,1,423695.0,3406860.0,8041.0
82016,7,1,5444891.0,16969660.0,3117.0
92016,1,1,26254.0,141771.0,5400.0
92016,2,1,180149.0,284549.0,1580.0
92016,5,1,423695.0,3406860.0,8041.0
92016,7,1,5444891.0,16969660.0,3117.0
102016,1,1,26254.0,141771.0,5400.0
102016,2,1,180149.0,284549.0,1580.0
102016,5,1,423695.0,3406860.0,8041.0
102016,7,1,5444891.0,16969660.0,3117.0
112016,1,1,26254.0,141771.0,5400.0
112016,2,1,180149.0,284549.0,1580.0
112016,5,1,423695.0,3406860.0,8041.0
112016,7,1,5444891.0,16969660.0,3117.0
122016,1,1,26107.0,117472.0,4500.0
122016,2,1,184854.0,294005.0,1590.0
122016,5,1,413440.0,3303508.0,7990.0
122016,7,1,5449462.0,16824385.0,3087.0
12017,1,1,25848.0,161921.0,6264.0
12017,2,1,197931.0,350139.0,1769.0
12017,5,1,500587.0,4400229.0,8790.0
12017,7,1,5349774.0,18524206.0,3463.0
22017,1,1,25076.0,161636.0,6446.0
22017,2,1,197981.0,361644.0,1827.0
22017,5,1,500587.0,4434675.0,8859.0
22017,7,1,5355174.0,18809432.0,3512.0
32017,1,1,24876.0,162716.0,6541.0
32017,2,1,197981.0,361644.0,1827.0
32017,5,1,502747.0,4609003.0,9168.0
32017,7,1,5353745.0,19234633.0,3593.0
42017,1,1,24876.0,162716.0,6541.0
42017,2,1,197981.0,361644.0,1827.0
42017,5,1,502806.0,4646548.0,9241.0
42017,7,1,5363973.0,19584146.0,3651.0
52017,1,1,25111.0,163078.0,6494.0
52017,2,1,194051.0,364687.0,1879.0
52017,5,1,503606.0,4765912.0,9464.0
52017,7,1,5252733.0,19536332.0,3719.0
62017,1,1,25111.0,163078.0,6494.0
62017,2,1,194051.0,364687.0,1879.0
62017,5,1,503606.0,4765912.0,9464.0
62017,7,1,5253033.0,19618069.0,3735.0
72017,1,1,25111.0,163078.0,6494.0
72017,2,1,193434.0,367848.0,1902.0
72017,5,1,512533.0,4889083.0,9539.0
72017,7,1,5259903.0,19647675.0,3735.0
82017,1,1,25111.0,163078.0,6494.0
82017,2,1,193434.0,367848.0,1902.0
82017,5,1,512533.0,4889083.0,9539.0
82017,7,1,5259903.0,19647675.0,3735.0
92017,1,1,24989.0,165347.0,6617.0
92017,2,1,194108.0,368207.0,1897.0
92017,5,1,513627.0,4931876.0,9602.0
92017,7,1,5271629.0,19817679.0,3759.0
102017,1,1,24989.0,165347.0,6617.0
102017,2,1,194108.0,368207.0,1897.0
102017,5,1,513627.0,4931876.0,9602.0
102017,7,1,5271629.0,19817679.0,3759.0
112017,1,1,24989.0,165347.0,6617.0
112017,2,1,194108.0,368207.0,1897.0
112017,5,1,513627.0,4931876.0,9602.0
112017,7,1,5271629.0,19817679.0,3759.0
122017,1,1,24989.0,165347.0,6617.0
122017,2,1,194108.0,368207.0,1897.0
122017,5,1,513627.0,4931876.0,9602.0
122017,7,1,5271629.0,19817679.0,3759.0
12018,1,1,23671.0,159570.0,6741.0
12018,2,1,197719.0,317660.0,1607.0
12018,5,1,333153.0,2985246.0,8961.0
12018,7,1,5575490.0,19453171.0,3489.0
22018,1,1,23590.0,149359.0,6331.0
22018,2,1,195889.0,307975.0,1572.0
22018,5,1,332833.0,2973351.0,8933.0
22018,7,1,5574586.0,19478376.0,3494.0
32018,1,1,23835.0,144483.0,6062.0
32018,2,1,195889.0,307975.0,1572.0
32018,5,1,328401.0,2854481.0,8692.0
32018,7,1,5552232.0,19311978.0,3478.0
42018,1,1,23835.0,144483.0,6062.0
42018,2,1,195889.0,307975.0,1572.0
42018,5,1,328401.0,2822106.0,8593.0
42018,7,1,5552520.0,19266672.0,3470.0
52018,1,1,23138.0,131317.0,5675.0
52018,2,1,195889.0,307975.0,1572.0
52018,5,1,330201.0,2887598.0,8745.0
52018,7,1,5552520.0,19266672.0,3470.0
62018,1,1,23138.0,131317.0,5675.0
62018,2,1,195889.0,307975.0,1572.0
62018,5,1,330201.0,2887598.0,8745.0
62018,7,1,5552520.0,19266672.0,3470.0
72018,1,1,23138.0,131317.0,5675.0
72018,2,1,195889.0,307975.0,1572.0
72018,5,1,330201.0,2887598.0,8745.0
72018,7,1,5552520.0,19266672.0,3470.0
82018,1,1,23138.0,131317.0,5675.0
82018,2,1,195889.0,307975.0,1572.0
82018,5,1,330201.0,2887598.0,8745.0
82018,7,1,5552520.0,19266672.0,3470.0
92018,1,1,23138.0,131317.0,5675.0
92018,2,1,195889.0,307975.0,1572.0
92018,5,1,330201.0,2887598.0,8745.0
92018,7,1,5552520.0,19266672.0,3470.0
102018,1,1,23138.0,131317.0,5675.0
102018,2,1,195889.0,307975.0,1572.0
102018,5,1,330201.0,2887598.0,8745.0
102018,7,1,5552520.0,19266672.0,3470.0
112018,1,1,23138.0,131317.0,5675.0
112018,2,1,195889.0,307975.0,1572.0
112018,5,1,330201.0,2887598.0,8745.0
112018,7,1,5552520.0,19266672.0,3470.0
122018,1,1,23138.0,131317.0,5675.0
122018,2,1,195889.0,307975.0,1572.0
122018,5,1,330201.0,2887598.0,8745.0
122018,7,1,5552520.0,19266672.0,3470.0
12019,1,1,23105.0,161518.0,6991.0
12019,2,1,162306.0,260375.0,1604.0
12019,5,1,356022.0,3100000.0,8707.0
12019,7,1,5532698.0,17052153.0,3082.0
22019,1,1,23105.0,160030.0,6926.0
22019,2,1,162306.0,248322.0,1530.0
22019,5,1,356022.0,3096110.0,8696.0
22019,7,1,5537221.0,16548648.0,2989.0
32019,1,1,23105.0,160030.0,6926.0
32019,2,1,162306.0,248322.0,1530.0
32019,5,1,356022.0,3096110.0,8696.0
32019,7,1,5543887.0,16329725.0,2946.0
42019,1,1,23215.0,158790.0,6840.0
42019,2,1,162306.0,248322.0,1530.0
42019,5,1,358479.0,3156605.0,8806.0
42019,7,1,5437439.0,16254411.0,2989.0
52019,1,1,23378.0,142463.0,6094.0
52019,2,1,162322.0,247089.0,1522.0
52019,5,1,358779.0,3166720.0,8826.0
52019,7,1,5439039.0,16231264.0,2984.0
62019,1,1,23378.0,142250.0,6085.0
62019,2,1,162327.0,247092.0,1522.0
62019,5,1,359879.0,3173825.0,8819.0
62019,7,1,5441991.0,16220624.0,2981.0
72019,1,1,23378.0,142278.0,6086.0
72019,2,1,162327.0,247092.0,1522.0
72019,5,1,359879.0,3139800.0,8725.0
72019,7,1,5437391.0,16209573.0,2981.0
82019,1,1,23378.0,142278.0,6086.0
82019,2,1,162327.0,247092.0,1522.0
82019,5,1,358888.0,3139820.0,8749.0
82019,7,1,5442361.0,16247994.0,2985.0
92019,1,1,23078.0,134649.0,5835.0
92019,2,1,162327.0,247092.0,1522.0
92019,5,1,360095.0,3159735.0,8775.0
92019,7,1,5447916.0,16164807.0,2967.0
102019,1,1,23078.0,134649.0,5835.0
102019,2,1,162327.0,247092.0,1522.0
102019,5,1,360095.0,3159735.0,8775.0
102019,7,1,5447916.0,16164807.0,2967.0
112019,1,1,23078.0,134649.0,5835.0
112019,2,1,162327.0,247092.0,1522.0
112019,5,1,360095.0,3159735.0,8775.0
112019,7,1,5447916.0,16164807.0,2967.0
122019,1,1,23078.0,134649.0,5835.0
122019,2,1,162327.0,247092.0,1522.0
122019,5,1,360095.0,3159735.0,8775.0
122019,7,1,5447916.0,16164807.0,2967.0
12020,1,1,21530.0,151462.0,7035.0
12020,2,1,152221.0,305593.0,2008.0
12020,5,1,348801.0,3246989.0,9309.0
12020,7,1,5500482.0,19800869.0,3600.0
22020,1,1,21532.0,153467.0,7127.0
22020,2,1,152231.0,319002.0,2096.0
22020,5,1,348801.0,3308937.0,9487.0
22020,7,1,5501182.0,20450310.0,3717.0
32020,1,1,21822.0,140597.0,6443.0
32020,2,1,152341.0,319798.0,2099.0
32020,5,1,351971.0,3453339.0,9811.0
32020,7,1,5504222.0,20806623.0,3780.0
42020,1,1,21822.0,152400.0,6984.0
