Data,Produto,Estado,Área Colhida (ha),Produção (t),Rendimento Médio (kg/ha),Temperatura Media,Precipitacao Total,Pressao Atmosferica Media,Vento Velocidade Media
012019,1,1,23105.0,161518.0,6991.0,22.81,160.37,868.64,1.45
012019,2,1,162306.0,260375.0,1604.0,22.81,160.37,868.64,1.45
012019,3,1,176654.0,339704.0,1923.0,22.81,160.37,868.64,1.45
012019,4,1,3054.0,2999.0,982.0,22.81,160.37,868.64,1.45
012019,5,1,356022.0,3100000.0,8707.0,22.81,160.37,868.64,1.45
012019,6,1,2192385.0,12687615.0,5787.0,22.81,160.37,868.64,1.45
012019,7,1,5532698.0,17052153.0,3082.0,22.81,160.37,868.64,1.45
012019,8,1,1080647.0,2920989.0,2703.0,22.81,160.37,868.64,1.45
012019,9,1,77981.0,190259.0,2440.0,22.81,160.37,868.64,1.45
022019,1,1,23105.0,160030.0,6926.0,21.22,153.71,831.04,1.41
022019,2,1,162306.0,248322.0,1530.0,21.22,153.71,831.04,1.41
022019,3,1,208194.0,399902.0,1921.0,21.22,153.71,831.04,1.41
022019,4,1,3054.0,2999.0,982.0,21.22,153.71,831.04,1.41
022019,5,1,356022.0,3096110.0,8696.0,21.22,153.71,831.04,1.41
022019,6,1,2203985.0,12766275.0,5792.0,21.22,153.71,831.04,1.41
022019,7,1,5537221.0,16548648.0,2989.0,21.22,153.71,831.04,1.41
022019,8,1,1080647.0,2920989.0,2703.0,21.22,153.71,831.04,1.41
022019,9,1,78481.0,186302.0,2374.0,21.22,153.71,831.04,1.41
032019,1,1,23105.0,160030.0,6926.0,18.71,121.01,795.73,1.2
032019,2,1,162306.0,248322.0,1530.0,18.71,121.01,795.73,1.2
032019,3,1,228374.0,436146.0,1910.0,18.71,121.01,795.73,1.2
032019,4,1,3054.0,2999.0,982.0,18.71,121.01,795.73,1.2
032019,5,1,356022.0,3096110.0,8696.0,18.71,121.01,795.73,1.2
032019,6,1,2227870.0,13000554.0,5835.0,18.71,121.01,795.73,1.2
032019,7,1,5543887.0,16329725.0,2946.0,18.71,121.01,795.73,1.2
032019,8,1,1080647.0,2920989.0,2703.0,18.71,121.01,795.73,1.2
032019,9,1,78481.0,186302.0,2374.0,18.71,121.01,795.73,1.2
042019,1,1,23215.0,158790.0,6840.0,17.24,80.47,727.05,0.89
042019,2,1,162306.0,248322.0,1530.0,17.24,80.47,727.05,0.89
042019,3,1,228374.0,436146.0,1910.0,17.24,80.47,727.05,0.89
042019,4,1,3054.0,2999.0,982.0,17.24,80.47,727.05,0.89
042019,5,1,358479.0,3156605.0,8806.0,17.24,80.47,727.05,0.89
042019,6,1,2233696.0,13026622.0,5832.0,17.24,80.47,727.05,0.89
042019,7,1,5437439.0,16254411.0,2989.0,17.24,80.47,727.05,0.89
042019,8,1,1022758.0,3293555.0,3220.0,17.24,80.47,727.05,0.89
042019,9,1,79426.0,189223.0,2382.0,17.24,80.47,727.05,0.89
052019,1,1,23378.0,142463.0,6094.0,17.62,135.29,868.5,1.29
052019,2,1,162322.0,247089.0,1522.0,17.62,135.29,868.5,1.29
052019,3,1,230577.0,408713.0,1773.0,17.62,135.29,868.5,1.29
052019,4,1,2629.0,3168.0,1205.0,17.62,135.29,868.5,1.29
052019,5,1,358779.0,3166720.0,8826.0,17.62,135.29,868.5,1.29
052019,6,1,2247739.0,12964822.0,5768.0,17.62,135.29,868.5,1.29
052019,7,1,5439039.0,16231264.0,2984.0,17.62,135.29,868.5,1.29
052019,8,1,1003958.0,3226305.0,3214.0,17.62,135.29,868.5,1.29
052019,9,1,75354.0,168891.0,2241.0,17.62,135.29,868.5,1.29
062019,1,1,23378.0,142250.0,6085.0,15.82,50.99,834.81,1.36
062019,2,1,162327.0,247092.0,1522.0,15.82,50.99,834.81,1.36
062019,3,1,230577.0,361839.0,1569.0,15.82,50.99,834.81,1.36
062019,4,1,2534.0,3091.0,1220.0,15.82,50.99,834.81,1.36
062019,5,1,359879.0,3173825.0,8819.0,15.82,50.99,834.81,1.36
062019,6,1,2247039.0,13463985.0,5992.0,15.82,50.99,834.81,1.36
062019,7,1,5441991.0,16220624.0,2981.0,15.82,50.99,834.81,1.36
062019,8,1,1006650.0,3235893.0,3215.0,15.82,50.99,834.81,1.36
062019,9,1,75336.0,168831.0,2241.0,15.82,50.99,834.81,1.36
072019,1,1,23378.0,142278.0,6086.0,12.32,25.86,761.52,1.33
072019,2,1,162327.0,247092.0,1522.0,12.32,25.86,761.52,1.33
072019,3,1,230577.0,352138.0,1527.0,12.32,25.86,761.52,1.33
072019,4,1,2534.0,3020.0,1192.0,12.32,25.86,761.52,1.33
072019,5,1,359879.0,3139800.0,8725.0,12.32,25.86,761.52,1.33
072019,6,1,2247439.0,13661756.0,6079.0,12.32,25.86,761.52,1.33
072019,7,1,5437391.0,16209573.0,2981.0,12.32,25.86,761.52,1.33
072019,8,1,1008395.0,2724950.0,2702.0,12.32,25.86,761.52,1.33
072019,9,1,75336.0,168974.0,2243.0,12.32,25.86,761.52,1.33
082019,1,1,23378.0,142278.0,6086.0,15.15,8.82,727.94,1.67
082019,2,1,162327.0,247092.0,1522.0,15.15,8.82,727.94,1.67
082019,3,1,230677.0,344878.0,1495.0,15.15,8.82,727.94,1.67
082019,4,1,2534.0,3020.0,1192.0,15.15,8.82,727.94,1.67
082019,5,1,358888.0,3139820.0,8749.0,15.15,8.82,727.94,1.67
082019,6,1,2232459.0,13407588.0,6006.0,15.15,8.82,727.94,1.67
082019,7,1,5442361.0,16247994.0,2985.0,15.15,8.82,727.94,1.67
082019,8,1,1024993.0,2713288.0,2647.0,15.15,8.82,727.94,1.67
082019,9,1,75336.0,168974.0,2243.0,15.15,8.82,727.94,1.67
092019,1,1,23078.0,134649.0,5835.0,17.66,66.55,798.55,1.93
092019,2,1,162327.0,247092.0,1522.0,17.66,66.55,798.55,1.93
092019,3,1,248059.0,365709.0,1474.0,17.66,66.55,798.55,1.93
092019,4,1,2534.0,3020.0,1192.0,17.66,66.55,798.55,1.93
092019,5,1,360095.0,3159735.0,8775.0,17.66,66.55,798.55,1.93
092019,6,1,2236402.0,13358484.0,5973.0,17.66,66.55,798.55,1.93
092019,7,1,5447916.0,16164807.0,2967.0,17.66,66.55,798.55,1.93
092019,8,1,1023051.0,2363074.0,2310.0,17.66,66.55,798.55,1.93
092019,9,1,75340.0,168960.0,2243.0,17.66,66.55,798.55,1.93
102019,1,1,23078.0,134649.0,5835.0,19.81,71.75,798.5,1.93
102019,2,1,162327.0,247092.0,1522.0,19.81,71.75,798.5,1.93
102019,3,1,246900.0,364600.0,1477.0,19.81,71.75,798.5,1.93
102019,4,1,2534.0,3020.0,1192.0,19.81,71.75,798.5,1.93
102019,5,1,360095.0,3159735.0,8775.0,19.81,71.75,798.5,1.93
102019,6,1,2236402.0,13424300.0,6003.0,19.81,71.75,798.5,1.93
102019,7,1,5447916.0,16164807.0,2967.0,19.81,71.75,798.5,1.93
102019,8,1,1023700.0,2177100.0,2127.0,19.81,71.75,798.5,1.93
102019,9,1,75340.0,168960.0,2243.0,19.81,71.75,798.5,1.93
112019,1,1,23078.0,134649.0,5835.0,19.65,109.29,797.09,1.97
112019,2,1,162327.0,247092.0,1522.0,19.65,109.29,797.09,1.97
112019,3,1,246900.0,364600.0,1477.0,19.65,109.29,797.09,1.97
112019,4,1,2534.0,3020.0,1192.0,19.65,109.29,797.09,1.97
112019,5,1,360095.0,3159735.0,8775.0,19.65,109.29,797.09,1.97
112019,6,1,2236402.0,13424300.0,6003.0,19.65,109.29,797.09,1.97
112019,7,1,5447916.0,16164807.0,2967.0,19.65,109.29,797.09,1.97
112019,8,1,1023600.0,2132900.0,2084.0,19.65,109.29,797.09,1.97
112019,9,1,75340.0,168960.0,2243.0,19.65,109.29,797.09,1.97
122019,1,1,23078.0,134649.0,5835.0,20.78,163.25,867.33,1.63
122019,2,1,162327.0,247092.0,1522.0,20.78,163.25,867.33,1.63
122019,3,1,246900.0,364600.0,1477.0,20.78,163.25,867.33,1.63
122019,4,1,2534.0,3020.0,1192.0,20.78,163.25,867.33,1.63
122019,5,1,360095.0,3159735.0,8775.0,20.78,163.25,867.33,1.63
122019,6,1,2236402.0,13424300.0,6003.0,20.78,163.25,867.33,1.63
122019,7,1,5447916.0,16164807.0,2967.0,20.78,163.25,867.33,1.63
122019,8,1,1023600.0,2132900.0,2084.0,20.78,163.25,867.33,1.63
122019,9,1,75340.0,168960.0,2243.0,20.78,163.25,867.33,1.63
012020,1,1,21530.0,151462.0,7035.0,22.43,116.87,832.24,1.57
012020,2,1,152221.0,305593.0,2008.0,22.43,116.87,832.24,1.57
012020,3,1,227184.0,443287.0,1951.0,22.43,116.87,832.24,1.57
012020,4,1,2534.0,3000.0,1184.0,22.43,116.87,832.24,1.57
012020,5,1,348801.0,3246989.0,9309.0,22.43,116.87,832.24,1.57
012020,6,1,2153580.0,12346342.0,5733.0,22.43,116.87,832.24,1.57
012020,7,1,5500482.0,19800869.0,3600.0,22.43,116.87,832.24,1.57
012020,8,1,1028400.0,2143800.0,2085.0,22.43,116.87,832.24,1.57
012020,9,1,71272.0,170396.0,2391.0,22.43,116.87,832.24,1.57
022020,1,1,21532.0,153467.0,7127.0,21.32,101.42,869.9,1.77
022020,2,1,152231.0,319002.0,2096.0,21.32,101.42,869.9,1.77
