Data,Produto,Estado,Área Colhida (ha),Produção (t),Rendimento Médio (kg/ha)
012014,1,1,30950.0,164384.0,5311.0
012014,2,1,239112.0,431624.0,1805.0
012014,3,1,269963.0,518332.0,1920.0
012014,4,1,5799.0,5119.0,883.0
012014,5,1,669988.0,5623929.0,8394.0
012014,6,1,1931330.0,10154602.0,5258.0
012014,7,1,4998120.0,16686225.0,3339.0
012014,8,1,979793.0,1796079.0,1833.0
012014,9,1,75995.0,173750.0,2286.0
022014,1,1,30700.0,160713.0,5235.0
022014,2,1,239112.0,421680.0,1764.0
022014,3,1,266563.0,511137.0,1918.0
022014,4,1,5799.0,5119.0,883.0
022014,5,1,669988.0,5508351.0,8222.0
022014,6,1,1907767.0,10011557.0,5248.0
022014,7,1,4998120.0,14655377.0,2932.0
022014,8,1,979793.0,1796079.0,1833.0
022014,9,1,76262.0,171838.0,2253.0
032014,1,1,30342.0,154663.0,5097.0
032014,2,1,239112.0,421680.0,1764.0
032014,3,1,263718.0,490386.0,1860.0
032014,4,1,5175.0,5346.0,1033.0
032014,5,1,668274.0,5429288.0,8124.0
032014,6,1,1909235.0,9983073.0,5229.0
032014,7,1,5016657.0,14708024.0,2932.0
032014,8,1,1215364.0,3639738.0,2995.0
032014,9,1,76137.0,171673.0,2255.0
042014,1,1,30342.0,154663.0,5097.0
042014,2,1,239112.0,421680.0,1764.0
042014,3,1,263718.0,490386.0,1860.0
042014,4,1,5175.0,5346.0,1033.0
042014,5,1,664794.0,5308255.0,7985.0
042014,6,1,1902551.0,9982417.0,5247.0
042014,7,1,5021926.0,14713610.0,2930.0
042014,8,1,1269259.0,3817835.0,3008.0
042014,9,1,76137.0,171673.0,2255.0
052014,1,1,30152.0,153981.0,5107.0
052014,2,1,239112.0,421680.0,1764.0
052014,3,1,259117.0,454929.0,1756.0
052014,4,1,5910.0,6022.0,1019.0
052014,5,1,668259.0,5332973.0,7980.0
052014,6,1,1905997.0,9959864.0,5226.0
052014,7,1,5021926.0,14713610.0,2930.0
052014,8,1,1323939.0,3981913.0,3008.0
052014,9,1,76137.0,171673.0,2255.0
062014,1,1,30152.0,153981.0,5107.0
062014,2,1,239112.0,421680.0,1764.0
062014,3,1,259192.0,416552.0,1607.0
062014,4,1,5910.0,6022.0,1019.0
062014,5,1,668259.0,5375565.0,8044.0
062014,6,1,1905997.0,9966142.0,5229.0
062014,7,1,5018523.0,14806462.0,2950.0
062014,8,1,1332091.0,4008727.0,3009.0
062014,9,1,76137.0,171673.0,2255.0
072014,1,1,30152.0,153981.0,5107.0
072014,2,1,239112.0,421680.0,1764.0
072014,3,1,275137.0,403682.0,1467.0
072014,4,1,5910.0,6022.0,1019.0
072014,5,1,668259.0,5375565.0,8044.0
072014,6,1,1901042.0,10207352.0,5369.0
072014,7,1,5018523.0,14806462.0,2950.0
072014,8,1,1350246.0,3982460.0,2949.0
072014,9,1,76137.0,171673.0,2255.0
082014,1,1,30152.0,153981.0,5107.0
082014,2,1,239112.0,421680.0,1764.0
082014,3,1,275137.0,403682.0,1467.0
082014,4,1,4917.0,4982.0,1013.0
082014,5,1,668259.0,5375565.0,8044.0
082014,6,1,1900264.0,10245499.0,5392.0
082014,7,1,5018523.0,14806462.0,2950.0
082014,8,1,1354503.0,3976549.0,2936.0
082014,9,1,76137.0,171673.0,2255.0
092014,1,1,30152.0,153981.0,5107.0
092014,2,1,239112.0,421680.0,1764.0
092014,3,1,275137.0,403682.0,1467.0
092014,4,1,4917.0,4982.0,1013.0
092014,5,1,668259.0,5375565.0,8044.0
092014,6,1,1900492.0,10350777.0,5446.0
092014,7,1,5018523.0,14806462.0,2950.0
092014,8,1,1354240.0,3995536.0,2950.0
092014,9,1,76137.0,171673.0,2255.0
102014,1,1,30152.0,153981.0,5107.0
102014,2,1,239112.0,421680.0,1764.0
102014,3,1,275137.0,403682.0,1467.0
102014,4,1,4917.0,4982.0,1013.0
102014,5,1,668259.0,5375565.0,8044.0
102014,6,1,1900492.0,10350777.0,5446.0
102014,7,1,5018523.0,14806462.0,2950.0
102014,8,1,1356958.0,3869723.0,2852.0
102014,9,1,76137.0,171673.0,2255.0
112014,1,1,30152.0,153981.0,5107.0
112014,2,1,239112.0,421680.0,1764.0
112014,3,1,275137.0,403682.0,1467.0
112014,4,1,4917.0,4982.0,1013.0
112014,5,1,668259.0,5375565.0,8044.0
112014,6,1,1900492.0,10350777.0,5446.0
112014,7,1,5018523.0,14806462.0,2950.0
112014,8,1,1359858.0,3779374.0,2779.0
112014,9,1,76137.0,171673.0,2255.0
122014,1,1,30152.0,153981.0,5107.0
122014,2,1,239112.0,421680.0,1764.0
122014,3,1,275137.0,403682.0,1467.0
122014,4,1,4917.0,4982.0,1013.0
122014,5,1,668259.0,5375565.0,8044.0
122014,6,1,1900492.0,10350777.0,5446.0
122014,7,1,5018523.0,14806462.0,2950.0
122014,8,1,1360859.0,3720582.0,2734.0
122014,9,1,76137.0,171673.0,2255.0
012015,1,1,28200.0,161614.0,5731.0
012015,2,1,193262.0,332035.0,1718.0
012015,3,1,223545.0,421154.0,1884.0
012015,4,1,4913.0,5262.0,1071.0
012015,5,1,536664.0,4588963.0,8551.0
012015,6,1,1868955.0,9919722.0,5308.0
012015,7,1,5180054.0,16855853.0,3254.0
012015,8,1,1356958.0,3869723.0,2852.0
012015,9,1,78289.0,182827.0,2335.0
022015,1,1,28320.0,161883.0,5716.0
022015,2,1,192762.0,332147.0,1723.0
022015,3,1,228545.0,453719.0,1985.0
022015,4,1,4913.0,5262.0,1071.0
022015,5,1,542064.0,4635660.0,8552.0
022015,6,1,1865155.0,9953471.0,5337.0
022015,7,1,5182569.0,16981846.0,3277.0
022015,8,1,1356958.0,3869723.0,2852.0
022015,9,1,78289.0,185067.0,2364.0
032015,1,1,28438.0,163885.0,5763.0
032015,2,1,192762.0,332147.0,1723.0
032015,3,1,218982.0,430544.0,1966.0
032015,4,1,4913.0,5262.0,1071.0
032015,5,1,542483.0,4668223.0,8605.0
032015,6,1,1867226.0,9981747.0,5346.0
032015,7,1,5203665.0,16998875.0,3267.0
032015,8,1,1350070.0,4045343.0,2996.0
032015,9,1,78189.0,184636.0,2361.0
042015,1,1,28438.0,163885.0,5763.0
042015,2,1,192762.0,332147.0,1723.0
042015,3,1,218982.0,430544.0,1966.0
042015,4,1,4913.0,5262.0,1071.0
042015,5,1,542919.0,4671246.0,8604.0
