Data Medicao,Estado,TemperaturaMedia C,"PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)"
122022,3,23.0,,"1011,3","3,2"
012023,3,25.5,"100,8","1010,8","2,9"
022023,3,24.1,"151,8","1011,2","2,2"
032023,3,25.0,"91,4","1012,6","2,2"
042023,3,20.0,50,"1014,8","2,1"
052023,3,17.6,174,"1017,5","1,6"
062023,3,15.7,"188,6","1018,5","1,8"
072023,3,15.0,"194,6","1018,9","2,1"
082023,3,15.9,"73,4","1016,1","2,2"
092023,3,18.0,"375,2","1013,7","2,8"
102023,3,18.6,"99,4","1013,3","2,7"
112023,3,21.0,"233,2",1011,"2,7"
122023,3,24.0,"110,4","1011,4","2,9"
012024,3,24.0,"113,6","1012,4","2,9"
022024,3,25.5,"67,4","1012,9","2,7"
032024,3,24.0,90,1013,"2,2"
042024,3,21.5,247,"1013,6","2,3"
052024,3,16.7,"556,2","1015,5","2,4"
062024,3,17.0,175,"1015,8",2
072024,3,13.3,"93,4","1022,4","2,1"
082024,3,15.0,"69,4","1018,3","2,3"
092024,3,18.3,"209,4","1014,6","2,6"
102024,3,20.2,"73,6","1014,5","2,9"
112024,3,22.7,68,"1012,3",3
122024,3,22.1,"225,6","1010,9","3,1"
012014,3,23.5,"206,2","1010,2","5,1"
022014,3,23.2,"223,4",1012,"5,4"
032014,3,20.5,89,"1012,6","5,2"
042014,3,18.6,"67,8","1015,9",5
052014,3,14.8,"61,2","1015,8","3,7"
062014,3,13.0,"112,8",1017,"5,6"
072014,3,12.9,"97,6","1018,8","4,7"
082014,3,12.8,"30,4","1016,1","4,1"
092014,3,14.9,"149,4","1014,7","5,1"
102014,3,,,,
112014,3,,,,
122014,3,21.6,123,"1010,5","4,2"
012015,3,23.2,"215,8","1011,7","4,5"
022015,3,23.4,"62,8","1012,9","4,3"
032015,3,,,,
042015,3,,,,
052015,3,16.7,"65,8","1017,7","4,4"
062015,3,12.9,35,"1017,2",4
072015,3,12.9,"48,6","1017,7",4
082015,3,15.8,"337,6","1014,1",5
092015,3,13.9,"105,2","1014,6","5,7"
102015,3,15.1,"62,2","1015,8","6,1"
112015,3,17.8,"60,8",1013,"5,7"
122015,3,21.3,"72,6","1010,6","5,1"
012016,3,23.0,"27,2",1012,"4,8"
022016,3,23.6,"98,8","1011,4","4,5"
032016,3,20.9,"113,6","1015,6","5,8"
042016,3,18.9,"348,6","1013,2","5,6"
