Data,Estado,Temperatura Media,Precipitacao Total,Pressao Atmosferica Media,Vento Velocidade Media
042014,1,22.5,259.0,1016.2,2.3
082014,1,18.4,74.2,1019.5,2.1
122014,1,24.8,330.0,1012.1,2.8
022014,1,26.5,157.6,1012.5,2.9
012014,1,26.5,224.0,1012.6,2.9
072014,1,17.6,97.4,1021.7,2.0
062014,1,19.0,118.4,1018.0,1.8
052014,1,20.3,102.8,1016.8,2.0
032014,1,24.7,282.4,1013.6,2.4
112014,1,23.0,174.2,1013.5,2.8
102014,1,21.8,48.6,1016.8,3.0
092014,1,20.2,172.4,1016.5,2.6
042015,1,22.8,214.2,1015.8,2.2
082015,1,20.2,34.6,1018.2,2.3
122015,1,24.9,187.8,1011.9,2.8
022015,1,25.4,538.6,1012.0,2.8
012015,1,26.4,236.4,1012.9,2.9
072015,1,18.6,122.0,1018.3,2.0
062015,1,18.9,99.6,1020.1,2.1
052015,1,20.4,205.8,1017.8,1.9
032015,1,24.4,611.8,1013.6,2.5
112015,1,21.7,346.6,1012.5,2.3
102015,1,20.3,226.6,1015.9,2.4
092015,1,20.3,143.6,1014.5,2.4
042016,1,26.2,653.3,1012.3,2.6
082016,1,17.0,124.8,853.0,2.1
122016,1,25.2,384.6,1011.9,2.8
022016,1,26.2,653.4,1012.3,2.6
012016,1,25.2,339.6,1012.0,2.7
072016,1,17.0,124.8,853.0,2.1
062016,1,14.4,294.6,967.8,3.3
052016,1,17.0,124.8,853.0,2.1
032016,1,24.8,244.2,1014.4,2.2
112016,1,17.0,124.8,853.0,2.1
102016,1,20.0,66.2,709.7,2.8
092016,1,18.7,133.6,928.8,3.6
042017,1,17.0,124.8,853.0,2.1
082017,1,18.9,129.9,1019.2,2.2
122017,1,24.1,259.8,1011.6,3.0
022017,1,26.4,72.6,1012.2,2.6
012017,1,25.9,525.8,1011.8,2.8
072017,1,17.9,25.6,1024.8,2.0
062017,1,18.8,150.4,1019.2,2.1
052017,1,20.9,149.2,1016.6,2.6
032017,1,24.2,458.2,1014.4,2.3
112017,1,22.1,86.4,1012.8,3.0
102017,1,21.8,80.6,1013.9,2.7
092017,1,21.2,106.0,1019.2,2.6
022018,1,17.0,124.8,853.0,2.1
012018,1,25.2,429.6,1011.8,2.8
042014,3,17.2,106.4,964.5,4.8
082014,3,13.2,84.0,964.9,5.0
122014,3,20.5,157.4,960.0,4.5
022014,3,22.0,266.2,961.4,5.3
012014,3,22.7,289.4,960.5,5.1
072014,3,12.4,203.6,966.9,5.0
062014,3,12.1,214.6,964.5,5.1
052014,3,13.5,74.8,964.3,3.7
032014,3,19.1,154.2,961.8,4.4
112014,3,19.5,80.1,961.1,4.8
102014,3,17.5,189.6,963.4,5.1
092014,3,14.5,181.4,962.6,5.4
042015,3,18.0,57.2,964.6,4.4
082015,3,16.4,104.6,962.9,5.3
122015,3,20.1,174.8,959.8,4.6
022015,3,21.2,91.2,961.6,4.4
012015,3,21.8,168.4,961.4,4.6
072015,3,12.2,161.4,965.1,4.6
062015,3,12.6,219.0,965.8,5.0
052015,3,15.1,179.8,965.7,4.4
032015,3,20.3,37.2,962.9,4.4
112015,3,16.9,143.6,960.8,4.9
102015,3,14.4,294.6,962.9,5.6
092015,3,13.2,209.8,961.9,5.0
042016,3,17.8,276.8,962.0,4.6
082016,3,13.4,152.8,964.4,4.4
122016,3,21.0,103.0,959.5,4.7
022016,3,22.6,62.6,960.8,4.2
012016,3,21.8,106.2,960.8,4.6
072016,3,11.3,76.0,964.5,4.6
062016,3,9.6,22.6,968.2,3.6
052016,3,11.6,88.4,966.7,4.0
032016,3,18.8,274.0,963.6,4.7
112016,3,18.1,120.2,961.8,4.5
102016,3,15.3,183.4,962.4,5.1
092016,3,12.4,97.4,965.4,5.0
042017,3,16.9,82.8,963.8,4.6
082017,3,14.3,211.8,964.4,4.9
122017,3,20.8,63.4,959.8,4.9
022017,3,22.5,132.4,959.9,3.8
012017,3,21.6,133.4,960.7,4.5
072017,3,14.3,32.8,969.2,5.1
062017,3,13.1,115.6,964.7,4.7
052017,3,15.0,220.2,964.2,4.6
032017,3,19.5,141.2,963.3,4.3
112017,3,17.2,59.0,960.5,4.7
102017,3,15.9,331.8,960.6,5.1
092017,3,16.6,176.6,965.3,5.1
042018,3,20.2,94.4,964.7,4.0
082018,3,11.0,127.8,966.2,4.6
122018,3,20.0,82.4,960.8,4.5
022018,3,20.7,118.2,961.8,4.5
012018,3,21.8,82.6,960.1,4.7
072018,3,10.7,241.0,965.7,5.1
062018,3,10.4,77.2,965.3,4.3
052018,3,15.1,54.6,965.3,4.0
032018,3,19.3,163.8,960.6,4.1
112018,3,19.4,84.6,961.3,4.9
102018,3,15.8,140.4,963.0,4.8
092018,3,15.4,285.8,963.3,5.2
042019,3,17.8,120.8,963.0,4.3
082019,3,11.8,120.0,967.9,4.5
122019,3,21.4,65.0,959.9,4.3
022019,3,21.0,126.2,961.5,4.3
012019,3,22.3,278.8,961.1,4.6
072019,3,10.9,184.2,966.0,4.3
062019,3,15.5,31.6,964.9,4.5
052019,3,15.4,138.0,964.1,4.1
032019,3,19.2,74.2,963.6,4.4
112019,3,19.0,86.4,961.2,4.7
102019,3,16.8,344.8,962.7,5.2
092019,3,13.3,137.8,964.7,4.4
042020,3,17.1,55.6,964.7,4.4
082020,3,17.0,124.8,853.0,2.1
122020,3,17.0,124.8,853.0,2.1
022020,3,21.3,44.6,962.2,4.5
012020,3,21.6,107.8,960.1,4.5
072020,3,17.0,124.8,853.0,2.1
062020,3,17.0,124.8,853.0,2.1
052020,3,17.0,124.8,853.0,2.1
032020,3,21.7,36.0,963.6,4.5
112020,3,17.0,124.8,853.0,2.1
102020,3,17.0,124.8,853.0,2.1
092020,3,17.0,124.8,853.0,2.1
042021,3,17.8,23.8,965.4,4.0
082021,3,13.3,130.3,966.5,4.3
122021,3,19.7,70.0,961.4,4.8
022021,3,20.4,81.3,960.8,3.8
012021,3,17.0,124.8,853.0,2.1
072021,3,11.7,65.0,966.9,4.2
062021,3,11.2,124.2,965.7,4.4
052021,3,12.8,61.8,964.3,4.1
032021,3,19.6,203.6,961.6,3.8
112021,3,18.7,114.8,960.7,4.9
102021,3,17.7,190.9,963.0,4.7
092021,3,15.1,224.5,962.7,4.7
042022,3,17.4,198.8,962.4,4.1
082022,3,12.1,129.0,967.0,4.3
122022,3,21.0,25.2,960.1,4.4
022022,3,21.4,125.0,960.3,4.0
012022,3,23.0,123.2,959.9,4.4
072022,3,17.0,124.8,853.0,2.1
062022,3,17.0,124.8,853.0,2.1
052022,3,17.0,124.8,853.0,2.1
032022,3,19.3,89.8,961.2,4.3
112022,3,18.4,51.6,964.4,4.5
102022,3,15.0,162.6,962.6,4.8
092022,3,12.5,50.8,965.5,4.2
042023,3,16.9,37.6,963.3,3.9
082023,3,13.2,85.4,963.5,4.4
122023,3,20.1,32.2,960.8,4.5
022023,3,21.6,101.0,960.5,4.1
012023,3,22.8,132.4,960.4,4.1
072023,3,11.7,254.4,966.1,4.5
062023,3,13.0,94.0,966.0,3.9
052023,3,15.6,209.6,965.5,3.8
032023,3,22.2,141.4,962.1,3.8
112023,3,18.2,183.8,959.6,4.5
102023,3,15.3,70.0,961.7,4.5
092023,3,14.0,502.0,961.9,5.2
042024,3,17.9,247.8,962.2,4.5
082024,3,12.2,187.8,965.3,4.8
122024,3,18.4,158.4,959.8,4.5
022024,3,22.3,102.1,962.5,4.3
012024,3,20.7,101.9,961.9,4.4
072024,3,10.5,57.6,969.4,4.1
062024,3,13.8,121.6,963.1,5.0
052024,3,12.5,367.4,963.4,4.3
032024,3,20.9,83.2,962.3,3.9
112024,3,19.2,73.0,961.3,4.8
102024,3,17.1,203.4,962.9,4.6
092024,3,15.2,339.6,962.6,4.5
042014,2,19.4,31.9,968.4,1.2
082014,2,15.4,112.5,970.8,1.2
122014,2,22.0,252.5,964.6,1.4
022014,2,23.6,95.5,965.6,1.5
012014,2,23.4,176.4,965.5,1.4
072014,2,14.4,104.6,972.8,1.0
062014,2,15.7,21.5,969.4,1.0
052014,2,16.6,9.8,968.6,0.9
032014,2,21.6,135.8,966.2,1.2
112014,2,20.6,201.8,965.6,1.4
102014,2,19.7,35.7,968.6,1.6
092014,2,17.8,132.8,968.2,1.5
042015,2,19.5,105.8,967.9,1.0
082015,2,8.2,15.2,461.0,0.6
122015,2,22.8,275.7,964.3,1.2
022015,2,22.5,250.1,964.8,1.1
012015,2,23.4,176.6,965.8,1.4
072015,2,15.4,47.7,969.8,1.0
062015,2,15.0,43.1,971.8,0.8
052015,2,17.0,166.9,969.8,0.9
032015,2,21.6,219.7,966.1,1.0
112015,2,9.0,84.9,458.4,0.4
102015,2,8.6,58.7,459.6,0.2
092015,2,8.4,62.3,459.2,0.4
042016,2,21.8,103.4,966.7,0.7
082016,2,14.4,189.9,969.5,0.7
122016,2,21.5,126.0,964.4,0.8
022016,2,23.6,231.8,965.1,1.2
012016,2,22.6,181.9,964.6,1.2
072016,2,13.8,104.3,970.4,0.7
062016,2,11.5,63.9,973.2,0.6
052016,2,15.4,96.9,509.2,0.4
032016,2,21.6,203.4,967.0,1.0
112016,2,19.4,98.3,966.0,1.0
102016,2,18.1,227.5,967.2,1.2
092016,2,16.1,64.0,969.6,1.0
042017,2,19.0,75.4,968.4,0.4
082017,2,16.0,96.4,970.3,0.3
122017,2,21.8,152.4,963.9,0.2
022017,2,23.5,181.1,965.0,0.8
012017,2,23.2,244.0,964.6,1.1
072017,2,14.2,14.2,975.6,0.3
062017,2,15.2,136.1,970.5,0.3
052017,2,17.8,121.3,968.7,0.6
032017,2,21.2,121.8,966.8,0.7
112017,2,19.4,164.7,964.6,0.2
102017,2,18.8,188.8,965.8,0.4
092017,2,19.2,87.1,970.6,0.4
042018,2,20.3,10.4,969.2,0.1
082018,2,14.3,64.4,971.2,0.2
122018,2,12.2,65.7,506.2,0.2
022018,2,21.4,65.9,965.3,0.1
012018,2,22.2,118.7,964.4,0.2
072018,2,15.0,35.1,970.4,0.1
062018,2,14.5,117.7,970.4,0.0
052018,2,17.6,140.8,970.0,0.1
032018,2,22.1,82.1,964.4,0.0
112018,2,20.4,57.3,507.0,0.4
102018,2,18.3,310.4,966.6,0.2
092018,2,17.5,105.6,967.4,0.2
042019,2,20.3,165.9,966.4,0.6
082019,2,6.6,15.2,462.2,0.0
122019,2,21.6,107.5,964.9,0.8
022019,2,11.9,250.7,506.0,0.3
012019,2,13.3,135.1,506.4,0.2
072019,2,6.3,15.6,461.2,0.0
062019,2,16.6,119.6,971.1,0.2
052019,2,18.5,270.1,967.5,0.2
032019,2,21.4,165.4,967.2,0.6
112019,2,20.4,152.2,965.6,0.8
102019,2,20.2,51.5,459.6,0.8
092019,2,7.8,83.8,460.4,0.0
042020,2,18.4,39.4,968.7,1.0
082020,2,6.6,63.2,461.3,0.3
122020,2,21.8,205.6,964.4,0.7
022020,2,21.8,270.1,966.0,0.7
012020,2,22.4,162.4,963.8,0.8
072020,2,14.4,87.6,969.8,0.8
062020,2,16.1,97.3,969.2,0.6
052020,2,15.4,45.2,968.8,0.9
032020,2,21.3,73.8,967.6,0.8
112020,2,19.8,102.1,966.7,0.7
102020,2,19.5,113.9,966.6,1.0
092020,2,17.9,40.0,969.0,0.8
042021,2,8.4,8.6,460.5,0.2
082021,2,16.0,28.3,971.0,0.9
122021,2,21.0,165.6,964.4,1.5
022021,2,10.0,53.1,458.4,0.2
012021,2,10.0,126.1,458.8,0.4
072021,2,5.2,18.7,461.8,0.3
062021,2,6.2,63.3,461.0,0.2
052021,2,6.9,55.1,460.3,0.2
032021,2,10.0,65.6,458.9,0.2
112021,2,20.0,50.1,458.6,1.0
102021,2,7.7,84.2,459.6,1.0
092021,2,17.6,116.5,968.4,1.0
042022,2,18.8,81.4,967.6,0.8
082022,2,8.3,160.6,509.8,0.6
122022,2,21.5,321.9,963.8,1.5
022022,2,23.0,71.2,964.6,1.1
012022,2,22.7,248.7,964.0,1.4
072022,2,8.8,13.9,508.8,0.4
062022,2,13.9,86.0,509.0,0.4
052022,2,15.6,201.2,968.4,1.3
032022,2,21.9,314.3,965.4,1.0
112022,2,18.3,213.0,967.4,1.8
102022,2,10.0,122.1,507.2,0.6
092022,2,8.4,110.4,509.1,0.6
042023,2,18.8,197.5,967.2,1.2
082023,2,16.2,108.9,968.6,1.2
122023,2,12.4,77.4,965.0,1.7
022023,2,22.4,231.6,964.4,1.3
012023,2,22.4,256.9,964.4,1.5
072023,2,14.9,123.6,971.2,1.0
062023,2,15.0,176.4,970.8,1.1
052023,2,17.4,21.0,969.9,0.9
032023,2,22.4,192.6,966.4,1.4
112023,2,20.8,97.8,506.0,0.6
102023,2,18.4,270.8,506.8,0.6
092023,2,19.0,127.4,967.0,1.6
042024,2,20.8,180.1,967.0,1.3
082024,2,14.6,42.1,970.9,1.2
122024,2,9.5,92.1,458.2,1.0
022024,2,12.6,154.7,966.2,1.4
012024,2,12.1,384.5,964.7,1.6
072024,2,13.7,176.4,972.9,1.0
062024,2,16.7,55.8,969.2,1.0
052024,2,18.4,173.3,967.5,1.4
032024,2,12.4,83.8,966.3,1.2
112024,2,9.4,86.6,458.8,1.0
102024,2,8.8,48.7,459.6,1.0
092024,2,18.3,131.3,968.0,1.4
042014,1,17.9,81.5,865.2,1.6
