Unnamed: 0,Data,Produto,Estado,Área Colhida (ha),Área Plantada (ha),Produção (t),Rendimento Médio (kg/ha)
0,janeiro 2014,1.4 Arroz,Parana,30950,,164384,5311
1,janeiro 2014,1.8 Feijao (1 Safra),Parana,239112,,431624,1805
2,janeiro 2014,1.9 Feijao (2 Safra),Parana,269963,,518332,1920
3,janeiro 2014,1.10 Feijao (3 Safra),Parana,5799,,5119,883
4,janeiro 2014,1.13 Milho (1 Safra),Parana,669988,,5623929,8394
5,janeiro 2014,1.14 Milho (2 Safra),Parana,1931330,,10154602,5258
6,janeiro 2014,1.15 Soja,Parana,4998120,,16686225,3339
7,janeiro 2014,1.17 Trigo,Parana,979793,,1796079,1833
8,janeiro 2014,15 Fumo,Parana,75995,,173750,2286
9,fevereiro 2014,1.4 Arroz,Parana,30700,,160713,5235
10,fevereiro 2014,1.8 Feijao (1 Safra),Parana,239112,,421680,1764
11,fevereiro 2014,1.9 Feijao (2 Safra),Parana,266563,,511137,1918
12,fevereiro 2014,1.10 Feijao (3 Safra),Parana,5799,,5119,883
13,fevereiro 2014,1.13 Milho (1 Safra),Parana,669988,,5508351,8222
14,fevereiro 2014,1.14 Milho (2 Safra),Parana,1907767,,10011557,5248
15,fevereiro 2014,1.15 Soja,Parana,4998120,,14655377,2932
16,fevereiro 2014,1.17 Trigo,Parana,979793,,1796079,1833
17,fevereiro 2014,15 Fumo,Parana,76262,,171838,2253
18,marco 2014,1.4 Arroz,Parana,30342,,154663,5097
19,marco 2014,1.8 Feijao (1 Safra),Parana,239112,,421680,1764
20,marco 2014,1.9 Feijao (2 Safra),Parana,263718,,490386,1860
21,marco 2014,1.10 Feijao (3 Safra),Parana,5175,,5346,1033
22,marco 2014,1.13 Milho (1 Safra),Parana,668274,,5429288,8124
23,marco 2014,1.14 Milho (2 Safra),Parana,1909235,,9983073,5229
24,marco 2014,1.15 Soja,Parana,5016657,,14708024,2932
25,marco 2014,1.17 Trigo,Parana,1215364,,3639738,2995
26,marco 2014,15 Fumo,Parana,76137,,171673,2255
27,abril 2014,1.4 Arroz,Parana,30342,,154663,5097
28,abril 2014,1.8 Feijao (1 Safra),Parana,239112,,421680,1764
29,abril 2014,1.9 Feijao (2 Safra),Parana,263718,,490386,1860
30,abril 2014,1.10 Feijao (3 Safra),Parana,5175,,5346,1033
31,abril 2014,1.13 Milho (1 Safra),Parana,664794,,5308255,7985
32,abril 2014,1.14 Milho (2 Safra),Parana,1902551,,9982417,5247
33,abril 2014,1.15 Soja,Parana,5021926,,14713610,2930
34,abril 2014,1.17 Trigo,Parana,1269259,,3817835,3008
35,abril 2014,15 Fumo,Parana,76137,,171673,2255
36,maio 2014,1.4 Arroz,Parana,30152,,153981,5107
37,maio 2014,1.8 Feijao (1 Safra),Parana,239112,,421680,1764
38,maio 2014,1.9 Feijao (2 Safra),Parana,259117,,454929,1756
39,maio 2014,1.10 Feijao (3 Safra),Parana,5910,,6022,1019
40,maio 2014,1.13 Milho (1 Safra),Parana,668259,,5332973,7980
41,maio 2014,1.14 Milho (2 Safra),Parana,1905997,,9959864,5226
42,maio 2014,1.15 Soja,Parana,5021926,,14713610,2930
43,maio 2014,1.17 Trigo,Parana,1323939,,3981913,3008
44,maio 2014,15 Fumo,Parana,76137,,171673,2255
45,junho 2014,1.4 Arroz,Parana,30152,,153981,5107
46,junho 2014,1.8 Feijao (1 Safra),Parana,239112,,421680,1764
47,junho 2014,1.9 Feijao (2 Safra),Parana,259192,,416552,1607
48,junho 2014,1.10 Feijao (3 Safra),Parana,5910,,6022,1019
49,junho 2014,1.13 Milho (1 Safra),Parana,668259,,5375565,8044
50,junho 2014,1.14 Milho (2 Safra),Parana,1905997,,9966142,5229
51,junho 2014,1.15 Soja,Parana,5018523,,14806462,2950
52,junho 2014,1.17 Trigo,Parana,1332091,,4008727,3009
53,junho 2014,15 Fumo,Parana,76137,,171673,2255
54,julho 2014,1.4 Arroz,Parana,30152,,153981,5107
55,julho 2014,1.8 Feijao (1 Safra),Parana,239112,,421680,1764
56,julho 2014,1.9 Feijao (2 Safra),Parana,275137,,403682,1467
57,julho 2014,1.10 Feijao (3 Safra),Parana,5910,,6022,1019
58,julho 2014,1.13 Milho (1 Safra),Parana,668259,,5375565,8044
59,julho 2014,1.14 Milho (2 Safra),Parana,1901042,,10207352,5369
60,julho 2014,1.15 Soja,Parana,5018523,,14806462,2950
61,julho 2014,1.17 Trigo,Parana,1350246,,3982460,2949
62,julho 2014,15 Fumo,Parana,76137,,171673,2255
63,agosto 2014,1.4 Arroz,Parana,30152,,153981,5107
64,agosto 2014,1.8 Feijao (1 Safra),Parana,239112,,421680,1764
65,agosto 2014,1.9 Feijao (2 Safra),Parana,275137,,403682,1467
66,agosto 2014,1.10 Feijao (3 Safra),Parana,4917,,4982,1013
67,agosto 2014,1.13 Milho (1 Safra),Parana,668259,,5375565,8044
