Data Medicao,TemperaturaMedia C?,CodEstacao,Nome,"PRECIPITACAO TOTAL, MENSAL (AUT)(mm)","PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB)","VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)",n
dezembro 2022,23.0,B807,Rio Grande do Sul,,"1011,3","3,2",
janeiro 2023,25.5,B807,Rio Grande do Sul,"100,8","1010,8","2,9",
fevereiro 2023,24.1,B807,Rio Grande do Sul,"151,8","1011,2","2,2",
marco 2023,25.0,B807,Rio Grande do Sul,"91,4","1012,6","2,2",
abril 2023,20.0,B807,Rio Grande do Sul,50,"1014,8","2,1",
maio 2023,17.6,B807,Rio Grande do Sul,174,"1017,5","1,6",
junho 2023,15.7,B807,Rio Grande do Sul,"188,6","1018,5","1,8",
julho 2023,15.0,B807,Rio Grande do Sul,"194,6","1018,9","2,1",
agosto 2023,15.9,B807,Rio Grande do Sul,"73,4","1016,1","2,2",
setembro 2023,18.0,B807,Rio Grande do Sul,"375,2","1013,7","2,8",
outubro 2023,18.6,B807,Rio Grande do Sul,"99,4","1013,3","2,7",
novembro 2023,21.0,B807,Rio Grande do Sul,"233,2",1011,"2,7",
dezembro 2023,24.0,B807,Rio Grande do Sul,"110,4","1011,4","2,9",
janeiro 2024,24.0,B807,Rio Grande do Sul,"113,6","1012,4","2,9",
fevereiro 2024,25.5,B807,Rio Grande do Sul,"67,4","1012,9","2,7",
marco 2024,24.0,B807,Rio Grande do Sul,90,1013,"2,2",
abril 2024,21.5,B807,Rio Grande do Sul,247,"1013,6","2,3",
maio 2024,16.7,B807,Rio Grande do Sul,"556,2","1015,5","2,4",
junho 2024,17.0,B807,Rio Grande do Sul,175,"1015,8",2,
julho 2024,13.3,B807,Rio Grande do Sul,"93,4","1022,4","2,1",
agosto 2024,15.0,B807,Rio Grande do Sul,"69,4","1018,3","2,3",
setembro 2024,18.3,B807,Rio Grande do Sul,"209,4","1014,6","2,6",
outubro 2024,20.2,B807,Rio Grande do Sul,"73,6","1014,5","2,9",
novembro 2024,22.7,B807,Rio Grande do Sul,68,"1012,3",3,
dezembro 2024,22.1,B807,Rio Grande do Sul,"225,6","1010,9","3,1",
maio 2016,,B806,Parana,,,,
junho 2016,10.6,B806,Parana,"95,2","914,2","1,1",
julho 2016,13.3,B806,Parana,"112,8","912,6","1,6",
agosto 2016,13.6,B806,Parana,190,"911,8","1,4",
setembro 2016,14.5,B806,Parana,"116,8","911,9","1,6",
outubro 2016,16.4,B806,Parana,"169,6","909,8","1,7",
novembro 2016,17.7,B806,Parana,"110,8","908,8","1,5",
dezembro 2016,19.8,B806,Parana,"98,6","908,1","1,6",
janeiro 2017,20.9,B806,Parana,"230,4","908,7","1,3",
fevereiro 2017,21.6,B806,Parana,74,"908,9","1,3",
marco 2017,19.0,B806,Parana,"116,6","910,3","1,3",
abril 2017,17.0,B806,Parana,"95,2","911,3","1,3",
maio 2017,16.0,B806,Parana,"96,4","911,5","1,3",
junho 2017,13.9,B806,Parana,142,"913,1","1,4",
julho 2017,12.7,B806,Parana,"10,8","917,4","1,3",
agosto 2017,14.5,B806,Parana,"91,2","912,5","1,5",
setembro 2017,18.0,B806,Parana,"27,4","913,3","1,6",
outubro 2017,17.3,B806,Parana,288,909,"1,8",
novembro 2017,17.4,B806,Parana,"121,6","907,7","1,6",
dezembro 2017,19.7,B806,Parana,293,"907,4","1,4",
janeiro 2018,20.1,B806,Parana,307,"908,3","1,5",
fevereiro 2018,19.1,B806,Parana,"108,8","908,8","1,3",
marco 2018,20.6,B806,Parana,"259,4","908,3","1,3",
abril 2018,18.4,B806,Parana,"15,8","912,4","1,1",
maio 2018,15.8,B806,Parana,"24,6","912,8","1,3",
junho 2018,14.0,B806,Parana,"104,8","912,9","1,3",
julho 2018,14.7,B806,Parana,"15,8",913,"1,4",
agosto 2018,13.4,B806,Parana,"34,8","913,1","1,5",
setembro 2018,16.1,B806,Parana,"56,2","910,1","1,4",
outubro 2018,16.7,B806,Parana,"331,2","909,3","1,4",
novembro 2018,18.2,B806,Parana,38,"909,3","1,6",
dezembro 2018,20.9,B806,Parana,"104,8","908,8","1,5",
janeiro 2019,22.3,B806,Parana,407,"910,3","1,4",
fevereiro 2019,22.2,B806,Parana,"211,6","908,7","1,3",
marco 2019,19.7,B806,Parana,"76,6","910,7","1,2",
abril 2019,18.9,B806,Parana,"147,2",910,"1,1",
maio 2019,17.0,B806,Parana,240,"910,7","1,2",
