Country,Region,Year,Happiness Rank,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom,Generosity,Perceptions of corruption,Decade,Regional Happiness Ratio,Region_Australia and New Zealand,Region_Central and Eastern Europe,Region_Eastern Asia,Region_Latin America and Caribbean,Region_Middle East and Northern Africa,Region_North America,Region_Southeastern Asia,Region_Southern Asia,Region_Sub-Saharan Africa,Region_Western Europe,Region_nan
Finland,Western Europe,2019,1,7.769,0.6393129770992366,0.9653284671532847,0.8641542506573181,0.8232044198895028,0.18256119155357015,0.558564068901047,2010,1.4368155806650091,False,False,False,False,False,False,False,False,False,True,False
Denmark,Western Europe,2019,2,7.6,0.6598282442748091,0.9568126520681266,0.8729184925503944,0.8176795580110497,0.3006890213823508,0.558564068901047,2010,1.4055603569383535,False,False,False,False,False,False,False,False,False,True,False
Norway,Western Europe,2019,3,7.554,0.7099236641221374,0.9622871046228711,0.9009640666082384,0.8328729281767956,0.32336001902625827,0.558564068901047,2010,1.397053017935832,False,False,False,False,False,False,False,False,False,True,False
Iceland,Western Europe,2019,4,7.494,0.6583969465648853,0.9878345498783456,0.8992112182296231,0.8162983425414364,0.42239648241806427,0.2138029751227555,2010,1.385956488802108,False,False,False,False,False,False,False,False,False,True,False
Netherlands,Western Europe,2019,5,7.488,0.6660305343511449,0.9257907542579076,0.8755477651183172,0.7693370165745858,0.38421374954411497,0.5399431066659419,2010,1.3848468358887358,False,False,False,False,False,False,False,False,False,True,False
Switzerland,Western Europe,2019,6,7.48,0.6927480916030534,0.9282238442822385,0.9219982471516214,0.7900552486187845,0.3138143358077709,0.558564068901047,2010,1.383367298670906,False,False,False,False,False,False,False,False,False,True,False
Sweden,Western Europe,2019,7,7.343,0.661736641221374,0.9045012165450123,0.8843120070113935,0.792817679558011,0.3185871774170146,0.558564068901047,2010,1.3580302238155697,False,False,False,False,False,False,False,False,False,True,False
New Zealand,Western Europe,2019,8,7.307,0.6216603053435114,0.9470802919708029,0.8992112182296231,0.8080110497237569,0.3937594327626023,0.558564068901047,2010,1.3513723063353356,False,False,False,False,False,False,False,False,False,True,False
Canada,Western Europe,2019,9,7.278,0.6512404580152671,0.9154501216545012,0.9106047326906221,0.8066298342541436,0.340064964658611,0.5580620028627856,2010,1.3460089839207021,False,False,False,False,False,False,False,False,False,True,False
Austria,Western Europe,2019,10,7.246,0.6564885496183205,0.8972019464720196,0.8904469763365469,0.7348066298342542,0.2911433381638635,0.40948705404866736,2010,1.340090835049383,False,False,False,False,False,False,False,False,False,True,False
